nomePosto;bairro;tipoProduto;valorVenda;bandeira
AUTO POSTO JARDIM QUERENCIA LTDA;BARREIRINHA;GASOLINA;5,14;BRANCA
ACIPE - COMERCIO DE COMBUSTIVEIS LTDA;BELEM;GASOLINA ADITIVADA;5,249;BRANCA
ACIPE - COMERCIO DE COMBUSTIVEIS LTDA;BELEM;ETANOL;3,859;BRANCA
ACIPE - COMERCIO DE COMBUSTIVEIS LTDA;BELEM;GASOLINA;5,199;BRANCA
AUTO POSTO NILO CAIRO LTDA;CENTRO;ETANOL;3,789;BRANCA
AUTO POSTO NILO CAIRO LTDA;CENTRO;GASOLINA;5,199;BRANCA
POSTO DE GASOLINA HELLER LTDA;BATEL;GASOLINA ADITIVADA;5,499;RAIZEN
POSTO DE GASOLINA HELLER LTDA;BATEL;ETANOL;3,999;RAIZEN
POSTO DE GASOLINA HELLER LTDA;BATEL;GASOLINA;5,299;RAIZEN
AUTO POSTO ORTONA LTDA;JUVEVE;GASOLINA ADITIVADA;5,25;IPIRANGA
AUTO POSTO ORTONA LTDA;JUVEVE;ETANOL;3,85;IPIRANGA
AUTO POSTO ORTONA LTDA;JUVEVE;GASOLINA;5,15;IPIRANGA
AUTO POSTO SOL LEVANTE LTDA;SAO FRANCISCO;GASOLINA ADITIVADA;5,449;RAIZEN
AUTO POSTO SOL LEVANTE LTDA;SAO FRANCISCO;ETANOL;3,999;RAIZEN
AUTO POSTO SOL LEVANTE LTDA;SAO FRANCISCO;GASOLINA;5,249;RAIZEN
AUTO POSTO TS LIMITADA;AHU;GASOLINA ADITIVADA;5,499;RAIZEN
AUTO POSTO TS LIMITADA;AHU;ETANOL;3,999;RAIZEN
AUTO POSTO TS LIMITADA;AHU;GASOLINA;5,299;RAIZEN
AUTO POSTO NOSSA SENHORA DO ROSARIO LTDA;BOA VISTA;GASOLINA ADITIVADA;5,22;STANG
AUTO POSTO NOSSA SENHORA DO ROSARIO LTDA;BOA VISTA;ETANOL;4,07;STANG
AUTO POSTO NOSSA SENHORA DO ROSARIO LTDA;BOA VISTA;GASOLINA;5,22;STANG
POSTO DE SERVICOS ROSARIO LTDA;BOA VISTA;GASOLINA ADITIVADA;5,479;IPIRANGA
POSTO DE SERVICOS ROSARIO LTDA;BOA VISTA;ETANOL;3,799;IPIRANGA
POSTO DE SERVICOS ROSARIO LTDA;BOA VISTA;GASOLINA;5,179;IPIRANGA
AUTO POSTO MINERIO LTDA;SANTA CANDIDA;GASOLINA ADITIVADA;5,299;BRANCA
AUTO POSTO MINERIO LTDA;SANTA CANDIDA;ETANOL;3,999;BRANCA
AUTO POSTO MINERIO LTDA;SANTA CANDIDA;GASOLINA;5,249;BRANCA
AUTO POSTO VIA SUL BRASIL LTDA;CRISTO REI;GASOLINA ADITIVADA;5,499;RAIZEN
AUTO POSTO VIA SUL BRASIL LTDA;CRISTO REI;ETANOL;3,999;RAIZEN
AUTO POSTO VIA SUL BRASIL LTDA;CRISTO REI;GASOLINA;5,299;RAIZEN
AUTO POSTO JARDIM AMBIENTAL LTDA;ALTO DA RUA XV;GASOLINA ADITIVADA;5,69;IPIRANGA
AUTO POSTO JARDIM AMBIENTAL LTDA;ALTO DA RUA XV;ETANOL;3,99;IPIRANGA
AUTO POSTO JARDIM AMBIENTAL LTDA;ALTO DA RUA XV;GASOLINA;5,49;IPIRANGA
SAMBADE COM. DE COMBUSTIVEIS LTDA;BARREIRINHA;GASOLINA ADITIVADA;5,499;RAIZEN
SAMBADE COM. DE COMBUSTIVEIS LTDA;BARREIRINHA;ETANOL;3,999;RAIZEN
SAMBADE COM. DE COMBUSTIVEIS LTDA;BARREIRINHA;GASOLINA;5,299;RAIZEN
CERONIZE COMERCIO DE COMBUSTIVEIS LTDA;BATEL;GASOLINA ADITIVADA;5,499;PETROBRAS DISTRIBUIDORA S.A.
CERONIZE COMERCIO DE COMBUSTIVEIS LTDA;BATEL;ETANOL;3,999;PETROBRAS DISTRIBUIDORA S.A.
CERONIZE COMERCIO DE COMBUSTIVEIS LTDA;BATEL;GASOLINA;5,299;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO ABAETE LTDA;SANTA CANDIDA;GASOLINA ADITIVADA;5,229;BRANCA
AUTO POSTO ABAETE LTDA;SANTA CANDIDA;ETANOL;3,799;BRANCA
AUTO POSTO ABAETE LTDA;SANTA CANDIDA;GASOLINA;5,129;BRANCA
AUTO POSTO POTENZA LTDA;CENTRO;GASOLINA ADITIVADA;5,699;IPIRANGA
AUTO POSTO POTENZA LTDA;CENTRO;ETANOL;3,899;IPIRANGA
AUTO POSTO POTENZA LTDA;CENTRO;GASOLINA;5,299;IPIRANGA
PHOENIX AUTO POSTO LTDA;ALTO DA XV;GASOLINA ADITIVADA;5,699;RAIZEN
PHOENIX AUTO POSTO LTDA;ALTO DA XV;ETANOL;3,999;RAIZEN
PHOENIX AUTO POSTO LTDA;ALTO DA XV;GASOLINA;5,499;RAIZEN
